yahoo_ticker,pe_ratio,roe,debt_to_equity,revenue_growth,momentum_3m,momentum_6m,momentum_12m,rsi,dist_sma200,z_pe_ratio,z_roe,z_debt_to_equity,z_revenue_growth,z_momentum_3m,z_momentum_6m,z_momentum_12m,z_rsi,z_dist_sma200,z_pe_ratio_adj,z_debt_to_equity_adj,n_factores_disponibles,score,factores_faltantes,score_ajustado,nombre,sector,pais
ASML.AS,62.732285,0.53942,9.092,0.213,0.3040701467952769,0.3584349716997508,1.653544664525446,46.029699580082756,0.3487094146151857,1.9472927277892484,1.831050141487988,-0.2386831978045961,0.44011088603070425,2.0410707833363264,1.1011409931810368,3.0,-0.4743891485088814,2.012812118060737,-1.9472927277892484,0.2386831978045961,9,0.9159095826225845,0,0.9159095826225845,ASML HOLDING NV,Tecnología de la Información,Holanda
HSBA.L,16.40652,0.11611,,0.033,0.029068951846543234,0.09287570863886763,0.41529252722292975,46.67449790250306,0.09508055780808311,-0.3901373487283134,-0.19073173506628857,,-0.16366106481495019,-0.07758058394323414,0.08165702889268854,0.45653361774440837,-0.42777194549985587,0.2635230232489933,0.3901373487283134,,8,0.041513211161259354,1,-0.008486788838740648,HSBC HOLDINGS PLC,Financieros,Reino Unido
NOVN.SW,22.21947,0.34929,120.734,-0.007,0.08320416700317712,0.13413776614226602,0.3883285368735587,51.84466278308814,0.11033305225187928,-0.0968369755279407,0.9229653143181488,-0.024291640706128742,-0.2978326094473179,0.3394854132825489,0.24006237116317888,0.40108059529134477,-0.05398278158937213,0.3687201310824352,0.0968369755279407,0.024291640706128742,9,0.2268474500372262,0,0.2268474500372262,NOVARTIS AG,Cuidado de la Salud,Suiza
ROP.SW,20.797508,0.37273997,87.637,-0.004,0.046973497235426986,-0.010797077946869016,0.33176732135341713,52.94118927022821,0.051829168719878416,-0.16858402053550975,1.0349653245984196,-0.08784941793412514,-0.28776974359989027,0.060358778741168594,-0.31634356140498504,0.2847591490375954,0.025293165754768115,-0.03478366085595736,0.16858402053550975,0.08784941793412514,9,0.11365698786008378,0,0.11365698786008378,ROCHE PS PAR AG,Cuidado de la Salud,Suiza
NESN.SW,24.011396,0.26534,175.002,-0.022,0.12048834603920433,0.18863801705934158,0.14452270809940937,57.50001283790277,0.09977946086615219,-0.006422888954436529,0.5220095406848033,0.07992183648542668,-0.34814693868445573,0.6267284447439244,0.449289235326119,-0.10032034433315863,0.3548839794202016,0.2959315590147375,0.006422888954436529,-0.07992183648542668,9,0.19187516984902014,0,0.19187516984902014,NESTLE SA,Productos básicos de consumo,Suiza
AZN.L,24.83499,0.23482999,71.815,0.125,-0.03181427343078247,-0.004905248972400522,0.2510945945628249,46.12732429877088,-0.020971707371073012,0.035132677077541676,0.3762898901414904,-0.11823317329870076,0.1449334878394954,-0.5466342856998475,-0.2937247866329561,0.11885097031089127,-0.4673311411110012,-0.5368944231794188,-0.035132677077541676,0.11823317329870076,9,-0.12460108801224307,0,-0.12460108801224307,ASTRAZENECA PLC,Cuidado de la Salud,Reino Unido
SHELL.AS,13.549645,0.10697,43.324,0.007,0.012224382565109604,0.2583188167919581,0.2942903033462394,88.93719649447168,0.1162883632388596,-0.534284899229662,-0.23438552626353432,-0.17294582492884383,-0.25087256882598913,-0.20735372818719874,0.7167943380568185,0.20768547062061837,2.627708708630663,0.4097941661779776,0.534284899229662,0.17294582492884383,9,0.4418446204853179,0,0.4418446204853179,SHELL PLC,Energía,Reino Unido
SIE.DE,27.93905,0.12593001,76.352,-0.0,0.10990139963346301,0.06935387640213952,0.21165258214484473,47.005428362070255,0.103546260373228,0.191752286129116,-0.14383013046072343,-0.10952055175344227,-0.2743525891366535,0.5451649865123311,-0.008643458085719922,0.037736166015640296,-0.4038465538245067,0.32191133664343774,-0.191752286129116,0.10952055175344227,9,-0.0008991085235408961,0,-0.0008991085235408961,SIEMENS N AG,Industriales,Alemania
SAN.MC,13.529546,0.12886,,0.046,0.1639980684918907,0.13049709452485203,0.6034987307292417,43.506498197926675,0.17478457718192253,-0.535299021869794,-0.12983612918391624,,-0.1200553128094307,0.9619340171470658,0.22608580604391829,0.8435906776830465,-0.6568098946161446,0.8132450606327805,0.535299021869794,,8,0.3091816558458892,1,0.2591816558458892,BANCO SANTANDER SA,Financieros,España
TTE.PA,12.2989855,0.12512,51.304,0.034,-0.04131985047793574,0.2965319535157118,0.49245737462946226,78.079856461129,0.12757066277561036,-0.5973886414081758,-0.14769884024274543,-0.15762144319396118,-0.160306776199141,-0.619866708604362,0.8634948510270382,0.6152276374491544,1.842751913810664,0.48760866959249993,0.5973886414081758,0.15762144319396118,9,0.40402453682613837,0,0.40402453682613837,TOTALENERGIES,Energía,Francia
