yahoo_ticker,momentum_3m,momentum_6m,momentum_12m,rsi,dist_sma200
ASML.AS,0.3040701467952769,0.3584349716997508,1.653544664525446,46.029699580082756,0.3487094146151857
HSBA.L,0.029068951846543234,0.09287570863886763,0.41529252722292975,46.67449790250306,0.09508055780808311
NOVN.SW,0.08320416700317712,0.13413776614226602,0.3883285368735587,51.84466278308814,0.11033305225187928
ROP.SW,0.046973497235426986,-0.010797077946869016,0.33176732135341713,52.94118927022821,0.051829168719878416
NESN.SW,0.12048834603920433,0.18863801705934158,0.14452270809940937,57.50001283790277,0.09977946086615219
AZN.L,-0.03181427343078247,-0.004905248972400522,0.2510945945628249,46.12732429877088,-0.020971707371073012
SHELL.AS,0.012224382565109604,0.2583188167919581,0.2942903033462394,88.93719649447168,0.1162883632388596
SIE.DE,0.10990139963346301,0.06935387640213952,0.21165258214484473,47.005428362070255,0.103546260373228
SAN.MC,0.1639980684918907,0.13049709452485203,0.6034987307292417,43.506498197926675,0.17478457718192253
TTE.PA,-0.04131985047793574,0.2965319535157118,0.49245737462946226,78.079856461129,0.12757066277561036
ALV.DE,0.13048157162185414,0.19189426703146228,0.27715283163451376,61.98083534346418,0.15360014783261966
SU.PA,-0.012620548038048462,0.17761437732681995,0.14870366244975508,40.32756530034315,0.06605319885819028
UBSG.SW,0.2693340158554256,0.18657480365265688,0.5225996670807092,63.537897685384486,0.25903422289760414
NOVO B.CO,0.24554084329044112,-0.14413991196492226,-0.2242792141217007,54.75968178855587,0.09745766896970953
ABBN.SW,0.08733158522167717,0.36684378304452236,0.5714768679149054,38.396622978451624,0.18100915238568405
SAP.DE,-0.0172882448361249,-0.2716627263283182,-0.4443739453719836,39.9509698507591,-0.22250628826842722
RR..L,-0.028677114224579636,-0.02848466999612309,0.14394489161808388,93.1350951375932,0.04648423826928583
IBE.MC,0.0855085300319256,0.18011838451517947,0.4354340705325008,57.4244820049485,0.1361456972943218
BBVA.MC,0.20953911465087027,0.09335853696013996,0.8222242686151477,57.31130526472999,0.18651457616461342
ENR.DE,-0.13446390273907782,0.15559790017448027,0.6411352380373556,45.42857827945258,0.10690161900563488
UCG.MI,0.2758728820882643,0.16253444685011065,0.48429512875180225,61.100693659159425,0.20269393641711764
MC.PA,0.023898478995457273,-0.18321886640461937,0.004207605593898656,48.92396033037781,-0.10139942026461413
SAF.PA,0.17325124816233628,0.069729033965378,0.17959316443294293,29.0064228748833,0.06554651385937582
ULVR.L,0.029552709641045505,-0.09388758157439936,-0.07706428548491306,46.23064495367807,-0.061398277569509774
AIR.PA,0.15449568959181104,-0.04364065060487099,0.09726579579882588,44.0766449407348,0.03523160514472967
CFR.SW,0.26371504161140646,0.26209543797906165,0.3919647836219988,69.17902294365528,0.21848607058255376
BATS.L,0.0062761874372043724,0.0003724050982032434,0.11048589390387753,47.42039022750259,-0.00030873775638196044
AI.PA,0.05624280393933434,0.26225048440048315,0.15578849544027262,50.569482943897476,0.13764372219637577
BNP.PA,0.19485387242594432,0.22136104527235534,0.41488996149733914,61.1656402090547,0.2429218465090517
ZURN.SW,0.09513662276050061,0.14578660017452716,0.17176160758167258,64.30972902101496,0.12384518949490331
BP..L,0.061018316952521356,0.1860885913906567,0.2961731390700688,59.99679738122145,0.10917467933374425
ISP.MI,0.15995076925214957,0.12680936344342708,0.38392537744651634,70.27320410965686,0.14706403097038812
DTE.DE,-0.031601918544645224,0.02511959652107376,-0.09696645726523223,77.11669921235652,-0.05184091466619478
GSK.L,-0.05891088118593413,0.05560855656633712,0.36555105718996694,46.24532204030048,-0.00821382374766022
OR.PA,0.025884943626586,-0.004315414059579581,0.02903349544068412,47.741261133900075,0.02942935046555295
IFX.DE,0.26410504911485444,0.5958423409236753,0.8959113220563788,32.01512394361171,0.37522615191146724
RIO.L,0.0013548299688388443,0.12423537157005282,0.5668378859485601,52.60057147901637,0.12122147349820112
SAN.PA,-0.008147291506162668,0.01672367748190462,-0.04718738292554425,65.6904206457742,-0.004082689817154872
BARC.L,0.022754052717766315,-0.09681452674478452,0.21047889608799664,42.2073866917352,-0.022902354827499027
INGA.AS,0.20741355663319982,0.21802293992198418,0.5159581906137933,65.62501241764068,0.218278388187106
ENEL.MI,0.023126592343285735,0.11951538475706935,0.3259255518862838,56.41641561491835,0.09008786084518139
LLOY.L,0.004807213223285256,-0.033316591968649445,0.24340342150208438,42.869869317510535,-0.0009989255859611523
CS.PA,0.1456554205048215,0.23541690073739652,0.11909425912950744,68.1671938955117,0.16192166237784322
NG..L,-0.041095903581190196,-0.1152864335747209,0.1666478537151681,72.53979109992548,-0.0044706581481973595
ABI.BR,0.17431279465651994,0.22578297570069905,0.2234278005018726,52.410892581665976,0.1702973771831897
DG.PA,-0.09614655330102717,0.037616708235776564,-0.00914924376003412,34.316332391351764,-0.032382830764465464
BA..L,-0.01780717374713814,-0.04844343560607767,0.09707253198055077,61.0333463908703,-0.0009496071567705044
INVE B.ST,0.058960294919203404,0.08028989546373544,0.38637820456763494,46.68998664051934,0.1055055445315054
MUV2.DE,-0.06010502612922919,0.026009044849790275,-0.09327781438104599,56.60640113954988,-0.010997616866907034
NWG.L,-0.02381782576222835,-0.12492364037371051,0.08999733346287653,41.73137915516175,-0.06757097102533405
DBK.DE,0.1798354457817417,-0.03829282302042991,0.216244681914185,58.33890761176449,0.07090453778204941
ITX.MC,0.026664532286094778,-0.006022257462842351,0.2883408719202021,41.6666605059797,0.03520431801892476
RMS.PA,0.0011947431302270495,-0.20558967836483,-0.29019354176971857,61.70520231213873,-0.11386466795567207
GLEN.L,0.009865466924046329,0.14862798304724967,0.7446056882580372,53.34640239376114,0.17406558137225359
NDA FI.HE,0.08578833208934755,0.07093467973367162,0.3933398106348076,47.8341850012806,0.10462137074644051
GLE.PA,0.11788728970738571,0.10192193549128259,0.5477802962207321,49.97052993515687,0.15467846916373862
DHL.DE,0.23817193580527318,0.26968895112383273,0.5223893084068516,64.92246593480198,0.23781487598474693
REL.L,0.0007417942744532002,-0.07634372125326483,-0.3146699932719854,54.4509747537609,-0.01731163589440199
