,retorno_total,volatilidad_anual,sharpe_ratio,max_drawdown
top_quintil,0.5991880348757213,0.13332071886247931,3.814405940535175,-0.06856488758817723
bottom_quintil,-0.09474014572940237,0.13719483348292763,-0.7029043401460551,-0.13836352422856285
benchmark_600,0.18320463794271435,0.11804443099129196,1.5745776602610693,-0.09037487460144918
