yahoo_ticker,pe_ratio,roe,debt_to_equity,revenue_growth,momentum_3m,momentum_6m,momentum_12m,rsi,dist_sma200,z_pe_ratio,z_roe,z_debt_to_equity,z_revenue_growth,z_momentum_3m,z_momentum_6m,z_momentum_12m,z_rsi,z_dist_sma200,z_pe_ratio_adj,z_debt_to_equity_adj,n_factores_disponibles,score,factores_faltantes,score_ajustado,nombre,sector,pais
ASML.AS,62.732285,0.53942,9.092,0.213,0.3040701467952769,0.3584349716997508,1.653544664525446,46.02969958008276,0.3487094146151857,1.947292727789248,1.831050141487988,-0.2386831978045961,0.4401108860307042,1.9730533234109888,1.0392431927743564,2.884366218869338,-0.4832611507087069,1.9386221922779856,-1.947292727789248,0.2386831978045961,9,0.8793972526842224,0,0.8793972526842224,ASML HOLDING NV,Tecnología de la Información,Holanda
HSBA.L,16.40652,0.11611,,0.033,0.0290689518465432,0.0928757086388676,0.4152925272229297,46.67449790250306,0.0950805578080831,-0.390137348728313,-0.1907317350662885,,-0.1636610648149501,-0.0705923155781133,0.0522496115286587,0.4208309418338953,-0.4369851744472898,0.2387881051087003,0.390137348728313,,8,0.0300044646616157,1,-0.0199955353383843,HSBC HOLDINGS PLC,Financieros,Reino Unido
NOVN.SW,22.21947,0.34929,120.734,-0.007,0.0832041670031771,0.134137766142266,0.3883285368735587,51.84466278308814,0.1103330522518792,-0.0968369755279404,0.9229653143181488,-0.0242916407061287,-0.2978326094473179,0.3317084685738103,0.2056066642461466,0.3671853720551694,-0.0659320575850972,0.3410111340507241,0.0968369755279404,0.0242916407061287,9,0.2139823224939614,0,0.2139823224939614,NOVARTIS AG,Cuidado de la Salud,Suiza
ROP.SW,20.797508,0.37273997,87.637,-0.004,0.0469734972354269,-0.010797077946869,0.3317673213534171,52.94118927022821,0.0518291687198784,-0.1685840205355095,1.0349653245984196,-0.0878494179341251,-0.2877697435998902,0.0624636375383667,-0.3330669228319515,0.2546553423881733,0.0127636088341969,-0.0510850048169096,0.1685840205355095,0.0878494179341251,9,0.1054844089533377,0,0.1054844089533377,ROCHE PS PAR AG,Cuidado de la Salud,Suiza
NESN.SW,24.011396,0.26534,175.002,-0.022,0.1204883460392043,0.1886380170593415,0.1445227080994093,57.50001283790277,0.0997794608661521,-0.0064228889544363,0.5220095406848033,0.0799218364854266,-0.3481469386844557,0.6087823551235415,0.4081655854128359,-0.1178727528921586,0.3399418967767361,0.2702804033075784,0.0064228889544363,-0.0799218364854266,9,0.1788512380219878,0,0.1788512380219878,NESTLE SA,Productos básicos de consumo,Suiza
AZN.L,24.83499,0.23482999,71.815,0.125,-0.0318142734307824,-0.0049052489724005,0.2510945945628249,46.12732429877088,-0.020971707371073,0.0351326770775418,0.3762898901414904,-0.1182331732987007,0.1449334878394954,-0.523040305299733,-0.3111689957456551,0.0941548252833017,-0.4762548062325277,-0.5390003481774811,-0.0351326770775418,0.1182331732987007,9,-0.1278873062188834,0,-0.1278873062188834,ASTRAZENECA PLC,Cuidado de la Salud,Reino Unido
SHELL.AS,13.549645,0.10697,43.324,0.007,0.0122243825651096,0.2583188167919581,0.2942903033462394,88.93719649447168,0.1162883632388596,-0.5342848992296617,-0.2343855262635343,-0.1729458249288438,-0.2508725688259891,-0.1957711554703149,0.667145450319269,0.1800938268797863,2.596130093973849,0.3809239450092264,0.5342848992296617,0.1729458249288438,9,0.4278327544200887,0,0.4278327544200887,SHELL PLC,Energía,Reino Unido
SIE.DE,27.93905,0.12593001,76.352,-0.0,0.109901399633463,0.0693538764021395,0.2116525821448447,47.005428362070255,0.103546260373228,0.1917522861291161,-0.1438301304607234,-0.1095205517534422,-0.2743525891366535,0.5301064538921377,-0.0351730494969752,0.0156839015822223,-0.4132349109018942,0.2955256939352521,-0.1917522861291161,0.1095205517534422,9,-0.0119451516624786,0,-0.0119451516624786,SIEMENS N AG,Industriales,Alemania
SAN.MC,13.529546,0.12886,,0.046,0.1639980684918907,0.130497094524852,0.6034987307292417,43.50649819792668,0.1747845771819225,-0.5352990218697935,-0.1298361291839162,,-0.1200553128094307,0.9321207848370382,0.1920755244305222,0.7952721462761184,-0.664346620697443,0.7729686818839032,0.5352990218697935,,8,0.2891872620758232,1,0.2391872620758232,BANCO SANTANDER SA,Financieros,España
TTE.PA,12.2989855,0.12512,51.304,0.034,-0.0413198504779357,0.2965319535157118,0.4924573746294622,78.079856461129,0.1275706627756103,-0.5973886414081754,-0.1476988402427454,-0.1576214431939611,-0.160306776199141,-0.5936801113635253,0.809170700091717,0.5743524404094371,1.81691899466582,0.4565385165357188,0.5973886414081754,0.1576214431939611,9,0.3900338898332686,0,0.3900338898332686,TOTALENERGIES,Energía,Francia
