Ticker,top_quintil,bottom_quintil,benchmark_600
2025-07-25,100.0,100.0,100.0
2025-07-28,99.88271593743713,99.16426828562909,99.4380412900343
2025-07-29,100.21305362461217,99.67887613762883,99.52606779106563
2025-07-30,100.72778747572966,98.83938295630614,99.4862551594279
2025-07-31,99.90272556300083,98.45764234561652,98.91786288441858
2025-08-04,99.05545052461974,97.32898408521719,98.21074129449994
2025-08-05,99.35665892742121,97.87164113436523,98.54217201294811
2025-08-06,100.14899923646858,98.03997780084087,98.70653415018319
2025-08-07,101.46921244072762,98.81744647093888,99.5590695570583
2025-08-08,102.33893955128252,98.98502855378118,99.83630207281838
2025-08-11,102.0432323797896,98.46530761419622,99.50908960646278
2025-08-12,102.61884047526326,98.61669722476718,99.80449145880597
2025-08-13,102.8555227919244,99.08712368352136,99.97314642751796
2025-08-14,102.98175737946818,99.29328460149503,100.1898747459587
2025-08-18,102.87626452125471,99.28708195366957,100.2089824886676
2025-08-19,103.83564041372094,100.14773106735969,101.02999126420873
2025-08-20,103.68966635871737,100.11280312923627,101.15940134583481
2025-08-21,104.06537605317708,99.68444488842921,101.07240098773987
2025-08-22,104.3882550212369,100.86925275070824,101.8056367621827
2025-08-26,103.33095279444673,99.65348463176726,100.54315303637136
2025-08-27,102.49838159197691,99.35976189562903,100.14169558143304
2025-08-28,102.3143383807007,99.26085814880264,99.98078498290795
2025-08-29,101.83810483777482,98.72787350076302,99.38854282475673
2025-09-01,102.06388853806646,98.94673362553424,99.46229969330183
2025-09-02,100.68218959897341,96.93067693457384,97.75842078152117
2025-09-03,101.05730939977077,97.46565289735231,98.21196116011394
2025-09-04,101.67958486437287,97.83246003256727,98.76681202846257
2025-09-05,101.4862898066651,98.58286508772221,99.03191007839153
2025-09-08,102.5235251374909,99.11739783214863,99.54561031628535
2025-09-09,102.72075597462407,98.94214529493402,99.50122613412951
2025-09-10,102.7287327616891,98.71322514508556,99.32345340535797
2025-09-11,103.18218199711909,99.14826259588695,99.77177936746568
2025-09-12,103.3125217924334,98.97113870974324,99.7866891493158
2025-09-15,104.08443513327026,99.23227859644554,100.24048705846151
2025-09-16,103.1371444717069,98.40812190935574,99.28038666238173
2025-09-17,102.87945311793987,98.669677154824,99.31632455998559
2025-09-18,103.96239383120853,99.22798060926168,99.82835455015845
2025-09-19,103.95303578633109,98.75817542741,99.55706002630534
2025-09-22,104.0288813925375,98.33602786071253,99.42480245921578
2025-09-23,104.78551868241142,98.78068492781851,99.96047920185896
2025-09-24,104.81904517474038,98.4353576254991,99.8007647509721
2025-09-25,104.36829074339549,97.59067183376958,99.04567478202372
2025-09-26,105.20923776847732,97.9826435680171,99.53748174441385
2025-09-29,105.14695057114925,98.89350734524369,99.995128626776
2025-09-30,105.19647474034322,99.2368164568177,100.36878564697211
2025-10-01,106.22944704666908,99.76005085992296,101.04184991880115
2025-10-02,106.8707449105812,100.66896165068265,101.54442223365103
2025-10-03,107.56693940687596,101.18841808679078,102.09759354669825
2025-10-06,107.72961551842207,100.95867643222111,101.98352331054004
2025-10-07,107.51178764689185,100.70932529746617,101.80001344769192
2025-10-08,108.30333746403906,100.66149563369986,102.28012485385824
2025-10-09,108.22712722947499,100.50938572023382,102.27161603248042
2025-10-10,106.64505506030582,99.23387720500416,101.14274520925646
2025-10-13,107.37109908299662,99.58704564079339,101.59603819294911
2025-10-14,107.16382868887797,99.11493723407398,101.26765510973823
2025-10-15,107.42839102977604,99.32809331331256,101.64560291927822
2025-10-16,107.3129707810824,100.11853405126215,102.07926456063217
2025-10-17,105.81477827151325,99.32616890009834,101.16773052421104
2025-10-20,107.02930877333834,100.27357802125817,102.0145229706335
2025-10-21,106.88689602288837,101.00529890157365,102.3657348989345
2025-10-22,107.07157703345483,101.4305653354316,102.65687591026006
2025-10-23,107.65571880743056,101.58645390996166,103.27200942897623
2025-10-24,107.96619311403629,102.03986156314006,103.7563606086668
2025-10-27,108.40707258443672,101.78854073268386,103.7857513109695
2025-10-28,108.62166553215668,101.3199605627842,103.6593546485707
2025-10-29,108.89463127674823,100.824967667856,103.54925138754221
2025-10-30,109.12735234384361,100.02898474833863,103.39052908440658
2025-10-31,108.35576857005233,99.55168733948373,102.91785496209094
2025-11-03,108.82543681273795,99.14572483331489,102.85553156516345
2025-11-04,107.7937192496856,98.45071568202492,102.3176756193829
2025-11-05,107.97060775725764,98.53544984931816,102.51129678152915
2025-11-06,107.9266504687522,97.61341217787027,101.81302168666384
2025-11-07,107.27858010008538,97.22719327255975,101.31015358588094
2025-11-10,108.91061168886063,98.14325505351846,102.44178787527305
2025-11-12,111.36180437315011,99.442366279916,104.16530514281277
2025-11-13,111.23946029726,99.12871200510581,103.79766057632978
2025-11-14,110.21407823587326,97.89158514461424,102.78130731737835
